LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id,BeginP,EndP,SepPont,BeginCh,EndCh,Init,SepV,void,TypeInt,TypeFloat,TypeBool,TyperChar,BeginC,EndC,ConstInt,ConstFloat,ConstBool,ConstChar,ConstString,In,SepPV,Out,InsSIf,Return,OpAtr,OpLogAnd,OpLogOr,OpLogNot,OpArAd,OpArMult,OpArdiv,OpArMod,OpArExp,OpReD,OpReI,InsInWh,InsInfor,IntTo,$,S,INICIAL,LIST_FUNC,FUNC,MAIN_FUNC,PARAMITER_LIST,PARAMITER,TYPE_FUNC,TYPE,VECTOR_TYPE,CONST_TYPE,COMANDS_LIST,COMAND,RETURN,RETURN_TYPE,VAR_DECLARATION,DECLARATION_LIST,DECLARATION_TYPE,ATTRIBUTION,LIST_OPERATION_LG,OPERATION_RL,OPERATION_AR,ATRIBVALUE,OP_LG,OP_AR,OP_RE,FUNC_CALL,LI,LOOP
117,,,,s132,,,,,,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
118,,r38,,,,,r38,,,,r38,r38,r38,r38,,,,,,,,r38,,r38,r38,r38,,,,,,,,,,,,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,s133,,,,,,,,,,,,,,,s53,s54,s55,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
120,,r48,,,,,r48,,r48,,r48,r48,r48,r48,,,,,,,,r48,r48,r48,r48,r48,,s108,s109,s110,,,,,,,,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
121,,,,s134,,,,,,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,r43,,,,,r43,,,,r43,r43,r43,r43,,,,,,,,r43,,r43,r43,r43,,,,,,,,,,,,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,r70,,r70,,,r70,,r70,,r70,r70,r70,r70,,r70,,,,,,r70,r70,r70,r70,r70,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,r50,,r50,,,r50,,r50,,r50,r50,r50,r50,,,,,,,,r50,r50,r50,r50,r50,,r50,r50,r50,,,,,,s112,s113,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,
127,,r52,,r52,,,r52,,r52,,r52,r52,r52,r52,,,,,,,,r52,r52,r52,r52,r52,,r52,r52,r52,s53,s54,s55,s56,s57,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
128,r5,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,136,84,85,38,,,,40,,
130,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,137,84,85,38,,,,40,,
131,,,,,,,,,,,,,,,,,,,,,,,s138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,s139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,r47,,,,,r47,,r47,,r47,r47,r47,r47,,,,,,,,r47,r47,r47,r47,r47,s140,,,,,,,,,,,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,142,84,85,38,,,,40,,
136,,,,s143,,,,,,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
137,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
138,,r34,,,,,r34,,,,r34,r34,r34,r34,,,,,,,,r34,,r34,r34,r34,,,,,,,,,,,,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,s76,,,,,,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,145,63,64,,65,73,79,66,,,,,,,,69,,70
140,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,146,84,85,38,,,,40,,
141,,s76,,,,,,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,147,63,64,,65,73,79,66,,,,,,,,69,,70
142,,,,s148,,,,,,,,,,,,,,,,,,,,,,,,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,s149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,s150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,s76,,,,,s151,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,,88,64,,65,73,79,66,,,,,,,,69,,70
146,,r49,,,,,r49,,r49,,r49,r49,r49,r49,,,,,,,,r49,r49,r49,r49,r49,,s108,s109,s110,,,,,,,,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,
147,,s76,,,,,s152,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,,88,64,,65,73,79,66,,,,,,,,69,,70
148,,,,,,s153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,r32,,,,,r32,,,,r32,r32,r32,r32,,,,,,,,r32,,r32,r32,r32,,,,,,,,,,,,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,r33,,,,,r33,,,,r33,r33,r33,r33,,,,,,,,r33,,r33,r33,r33,,,,,,,,,,,,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,r37,,,,,r37,,,,r37,r37,r37,r37,,,,,,,,r37,,r37,r37,r37,,,,,,,,,,,,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,r73,,,,,r73,,,,r73,r73,r73,r73,,,,,,,,r73,,r73,r73,r73,,,,,,,,,,,,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,s76,,,,,,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,154,63,64,,65,73,79,66,,,,,,,,69,,70
154,,s76,,,,,s155,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,,88,64,,65,73,79,66,,,,,,,,69,,70
155,,r74,,,,,r74,,,,r74,r74,r74,r74,,,,,,,,r74,,r74,r74,r74,,,,,,,,,,,,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
